Neighborhood,Year,Seller Investor Type,Sale Count,Total Price Volume
Brighton,2011,Small,34,"23,278,724"
Brighton,2012,Small,43,"21,176,410"
Brighton,2013,Small,39,"20,608,485"
Brighton,2014,Small,48,"26,118,250"
Brighton,2015,Small,49,"28,040,403"
Brighton,2016,Small,48,"30,833,600"
Brighton,2017,Small,68,"47,105,600"
Brighton,2018,Small,55,"35,119,733"
Brighton,2019,Small,44,"37,971,804"
Brighton,2020,Small,24,"20,573,000"
Brighton,2021,Small,55,"48,585,900"
Brighton,2022,Small,47,"47,308,601"
Brighton,2000,Medium,22,"4,633,250"
Brighton,2001,Medium,18,"4,017,500"
Brighton,2002,Medium,34,"11,779,700"
Brighton,2003,Medium,26,"28,907,753"
Brighton,2004,Medium,33,"12,273,660"
Brighton,2005,Medium,29,"20,930,550"
Brighton,2006,Medium,13,"5,219,000"
Brighton,2007,Medium,16,"18,102,000"
Brighton,2008,Medium,17,"6,837,500"
Brighton,2009,Medium,3,"710,000"
Brighton,2010,Medium,8,"4,224,500"
Brighton,2011,Medium,15,"16,313,136"
Brighton,2012,Medium,19,"8,136,400"
Brighton,2013,Medium,22,"12,792,500"
Brighton,2014,Medium,31,"18,577,250"
Brighton,2015,Medium,18,"16,941,025"
Brighton,2016,Medium,34,"25,699,788"
Brighton,2017,Medium,26,"17,795,250"
Brighton,2018,Medium,33,"31,990,102"
Brighton,2019,Medium,15,"10,352,085"
Brighton,2020,Medium,18,"23,499,000"
Brighton,2021,Medium,24,"16,060,000"
Brighton,2022,Medium,20,"15,158,789"
Brighton,2000,Large,17,"12,089,300"
Brighton,2001,Large,13,"2,823,625"
Brighton,2002,Large,20,"7,565,000"
Brighton,2003,Large,17,"4,664,700"
Brighton,2004,Large,23,"19,392,150"
Brighton,2005,Large,27,"21,528,385"
Brighton,2006,Large,15,"5,127,643"
Brighton,2007,Large,16,"15,396,407"
Brighton,2008,Large,18,"21,907,083"
Brighton,2009,Large,5,"13,282,261"
Brighton,2010,Large,21,"8,136,061"
Brighton,2011,Large,11,"2,846,400"
Brighton,2012,Large,9,"3,711,000"
Brighton,2013,Large,14,"38,515,900"
Brighton,2014,Large,10,"15,255,776"
Brighton,2015,Large,10,"72,305,000"
Brighton,2016,Large,17,"50,988,501"
Brighton,2017,Large,18,"14,653,900"
Brighton,2018,Large,12,"45,203,500"
Brighton,2019,Large,13,"33,734,303"
Brighton,2020,Large,12,"30,896,000"
Brighton,2021,Large,22,"46,499,000"
Brighton,2022,Large,13,"33,809,000"
Brighton,2000,Institutional,9,"1,294,000"
Brighton,2001,Institutional,6,"903,000"
Brighton,2002,Institutional,9,"1,713,000"
Brighton,2003,Institutional,14,"3,530,500"
Brighton,2004,Institutional,9,"3,211,297"
Brighton,2005,Institutional,9,"2,730,500"
Brighton,2006,Institutional,13,"5,708,591"
Brighton,2007,Institutional,20,"5,157,040"
Brighton,2008,Institutional,13,"4,984,243"
Brighton,2009,Institutional,30,"8,602,479"
Brighton,2010,Institutional,45,"17,317,599"
Brighton,2011,Institutional,20,"4,431,884"
Brighton,2012,Institutional,9,"2,671,311"
