year_original,HPI,year
2008-09-01,158.220526456913,2008.6666666666667
2008-10-01,157.436058245879,2008.7486338797814
2008-11-01,154.842661993322,2008.8333333333333
2008-12-01,153.998323389614,2008.9153005464482
2009-01-01,152.67673145487,2009.0
2009-02-01,151.910089310579,2009.0849315068492
2009-03-01,149.671896839662,2009.1616438356164
2009-04-01,148.790686173586,2009.2465753424658
2009-05-01,149.164087058468,2009.3287671232877
2009-06-01,150.841248101905,2009.4136986301369
2009-07-01,151.368918164473,2009.495890410959
2009-08-01,152.392099578596,2009.5808219178082
2009-09-01,152.802837006927,2009.6657534246576
2009-10-01,153.145109359876,2009.7479452054795
2009-11-01,154.079943280201,2009.8328767123287
2009-12-01,154.835305909924,2009.9150684931508
2010-01-01,154.978314024941,2010.0
2010-02-01,154.733639292707,2010.0849315068492
2010-03-01,155.617179892283,2010.1616438356164
2010-04-01,156.04053578215598,2010.2465753424658
2010-05-01,156.411167074085,2010.3287671232877
2010-06-01,155.725791349117,2010.4136986301369
2010-07-01,155.267216334943,2010.495890410959
2010-08-01,154.506114514145,2010.5808219178082
2010-09-01,153.38751224869,2010.6657534246576
2010-10-01,152.999073726637,2010.7479452054795
2010-11-01,153.064517813076,2010.8328767123287
2010-12-01,153.703178106846,2010.9150684931508
2011-01-01,154.204714194178,2011.0
2011-02-01,153.243493307108,2011.0849315068492
2011-03-01,151.378383359403,2011.1616438356164
2011-04-01,149.237568189945,2011.2465753424658
2011-05-01,151.17849672070102,2011.3287671232877
2011-06-01,152.327230838423,2011.4136986301369
2011-07-01,152.161428160498,2011.495890410959
2011-08-01,151.786329656049,2011.5808219178082
2011-09-01,151.608142898167,2011.6657534246576
2011-10-01,151.608751359292,2011.7479452054795
2011-11-01,150.811065525811,2011.8328767123287
2011-12-01,149.829404204257,2011.9150684931508
2012-01-01,149.91647002806,2012.0
2012-02-01,149.59783815061598,2012.0846994535518
2012-03-01,149.626430934693,2012.1639344262296
2012-04-01,148.974741218661,2012.2486338797814
2012-05-01,150.666997060943,2012.3306010928961
2012-06-01,152.273157351303,2012.4153005464482
2012-07-01,153.647857180133,2012.4972677595629
2012-08-01,154.64151514954395,2012.5819672131147
2012-09-01,154.629106412115,2012.6666666666667
2012-10-01,154.221116299183,2012.7486338797814
2012-11-01,154.28057646998,2012.8333333333333
2012-12-01,155.275121496145,2012.9153005464482
2013-01-01,155.99906539262,2013.0
2013-02-01,157.32638446996,2013.0849315068492
2013-03-01,159.106645695823,2013.1616438356164
2013-04-01,160.633219613553,2013.2465753424658
2013-05-01,161.64571035541,2013.3287671232877
2013-06-01,162.539144564321,2013.4136986301369
2013-07-01,163.571729285594,2013.495890410959
2013-08-01,164.815433069609,2013.5808219178082
2013-09-01,166.519196649709,2013.6657534246576
2013-10-01,167.680353203879,2013.7479452054795
2013-11-01,169.47331672173098,2013.8328767123287
2013-12-01,170.306964583908,2013.9150684931508
2014-01-01,170.23446784098,2014.0
2014-02-01,170.467864933537,2014.0849315068492
2014-03-01,171.451601670721,2014.1616438356164
2014-04-01,174.664667456407,2014.2465753424658
2014-05-01,174.757371647396,2014.3287671232877
2014-06-01,173.981598482394,2014.4136986301369
2014-07-01,173.153182788671,2014.495890410959
2014-08-01,173.48340895881,2014.5808219178082
2014-09-01,174.165800808461,2014.6657534246576
2014-10-01,175.02390276485295,2014.7479452054795
2014-11-01,175.977211067014,2014.8328767123287
2014-12-01,176.641433792685,2014.9150684931508
2015-01-01,178.245916911022,2015.0
2015-02-01,178.803411475677,2015.0849315068492
2015-03-01,178.69562968504502,2015.1616438356164
2015-04-01,177.184865637214,2015.2465753424658
2015-05-01,178.38082279014,2015.3287671232877
2015-06-01,179.693072827866,2015.4136986301369
2015-07-01,180.96458829356897,2015.495890410959
2015-08-01,181.82592918308492,2015.5808219178082
2015-09-01,182.457016583724,2015.6657534246576
2015-10-01,183.651386105576,2015.7479452054795
2015-11-01,183.87701711971297,2015.8328767123287
2015-12-01,184.447787161066,2015.9150684931508
2016-01-01,184.551141188336,2016.0
2016-02-01,185.231988736978,2016.0846994535518
2016-03-01,186.174578603084,2016.1639344262296
2016-04-01,186.89984859860692,2016.2486338797814
2016-05-01,188.174417514462,2016.3306010928961
2016-06-01,188.13930647896,2016.4153005464482
2016-07-01,188.770289426293,2016.4972677595629
2016-08-01,189.599459852459,2016.5819672131147
2016-09-01,190.537436591256,2016.6666666666667
2016-10-01,191.908842416482,2016.7486338797814
2016-11-01,193.771275239553,2016.8333333333333
2016-12-01,195.787490227055,2016.9153005464482
2017-01-01,197.362385896796,2017.0
2017-02-01,198.97743933279995,2017.0849315068492
2017-03-01,199.748725998632,2017.1616438356164
2017-04-01,198.93968636135293,2017.2465753424658
2017-05-01,199.340580899728,2017.3287671232877
2017-06-01,199.90795946437905,2017.4136986301369
2017-07-01,201.93089769834097,2017.495890410959
2017-08-01,203.025882224818,2017.5808219178082
2017-09-01,204.566468113532,2017.6657534246576
2017-10-01,205.19028625455505,2017.7479452054795
2017-11-01,205.699770017704,2017.8328767123287
2017-12-01,206.53151245812697,2017.9150684931508
2018-01-01,207.948259406926,2018.0
2018-02-01,210.61155576021,2018.0849315068492
2018-03-01,210.60996957595697,2018.1616438356164
2018-04-01,211.87426395470905,2018.2465753424658
2018-05-01,212.804248293704,2018.3287671232877
2018-06-01,213.480022070913,2018.4136986301369
2018-07-01,213.708301732513,2018.495890410959
2018-08-01,214.231221064408,2018.5808219178082
